time,open,high,low,close,volume
1516922040000.0,0.094591,0.095004,0.094575,0.094701,148.55
1516922100000.0,0.094701,0.094739,0.09455,0.094629,37.173
1516922160000.0,0.09463,0.094779,0.09459,0.094715,86.63
1516922220000.0,0.0947,0.0948,0.094544,0.094544,67.57
1516922280000.0,0.094577,0.094586,0.0945,0.09454,50.93
1516922340000.0,0.09454,0.0948,0.0945,0.094521,88.35
1516922400000.0,0.094598,0.094598,0.09449,0.094497,135.683
1516922460000.0,0.094497,0.094634,0.094496,0.09453,47.902
1516922520000.0,0.09453,0.09463,0.09451,0.094626,24.524
1516922580000.0,0.094616,0.094625,0.094453,0.094608,40.628
1516922640000.0,0.094602,0.094609,0.094502,0.0946,35.298
1516922700000.0,0.0946,0.0946,0.094453,0.094573,16.33
1516922760000.0,0.094473,0.09458,0.094453,0.094568,29.209
1516922820000.0,0.094567,0.094592,0.094471,0.09457,34.795
1516922880000.0,0.094571,0.0946,0.094471,0.094534,47.228
1516922940000.0,0.094599,0.094604,0.094534,0.094565,31.455
1516923000000.0,0.094565,0.094599,0.094534,0.094579,71.44
1516923060000.0,0.094579,0.09458,0.094483,0.09455,52.757
1516923120000.0,0.094483,0.09458,0.094483,0.09455,43.432
1516923180000.0,0.09455,0.09458,0.094501,0.09458,66.791
1516923240000.0,0.094594,0.0946,0.094551,0.094552,83.509
1516923300000.0,0.094551,0.094592,0.094487,0.094488,66.191
1516923360000.0,0.0945,0.094713,0.094488,0.09461,57.589
1516923420000.0,0.094663,0.094663,0.094471,0.094471,80.467
1516923480000.0,0.094476,0.094476,0.0944,0.094431,70.518
1516923540000.0,0.094449,0.094464,0.0944,0.094464,31.597
1516923600000.0,0.094401,0.094465,0.094381,0.09439,24.082
1516923660000.0,0.094392,0.094464,0.094351,0.094357,49.425
1516923720000.0,0.094356,0.094589,0.094352,0.094368,89.243
1516923780000.0,0.09447,0.094496,0.094351,0.094372,136.693
1516923840000.0,0.094371,0.094477,0.094339,0.094346,123.36
1516923900000.0,0.094351,0.094524,0.094339,0.094424,41.283
1516923960000.0,0.094424,0.094506,0.094324,0.094324,86.743
1516924020000.0,0.094324,0.094491,0.094311,0.09439,37.861
1516924080000.0,0.09445,0.094472,0.094383,0.094383,24.024
1516924140000.0,0.09447,0.094471,0.09436,0.09436,50.888
1516924200000.0,0.09436,0.094405,0.094311,0.094314,21.136
1516924260000.0,0.094314,0.094413,0.094312,0.094326,23.252
1516924320000.0,0.094326,0.094413,0.094308,0.09441,40.414
1516924380000.0,0.094398,0.094421,0.094309,0.094321,44.672
1516924440000.0,0.094409,0.094421,0.094308,0.094312,43.703
1516924500000.0,0.094312,0.094421,0.09431,0.094342,73.551
1516924560000.0,0.094342,0.094494,0.09431,0.094364,141.361
1516924620000.0,0.094364,0.094457,0.0943,0.0943,92.249
1516924680000.0,0.0943,0.094397,0.0942,0.0942,127.769
1516924740000.0,0.0942,0.094396,0.0942,0.094292,38.671
1516924800000.0,0.094268,0.094485,0.094258,0.094259,156.632
1516924860000.0,0.094261,0.094441,0.094257,0.094278,116.007
1516924920000.0,0.094279,0.09449,0.094259,0.094288,87.219
1516924980000.0,0.09429,0.09437,0.094247,0.094257,85.579
1516925040000.0,0.094257,0.09435,0.094201,0.094242,111.882
1516925100000.0,0.094242,0.094333,0.094187,0.094194,93.033
1516925160000.0,0.094283,0.094323,0.09418,0.094282,71.303
1516925220000.0,0.094282,0.094438,0.094204,0.094312,134.583
1516925280000.0,0.094399,0.094432,0.094195,0.094317,117.817
1516925340000.0,0.094317,0.094317,0.094065,0.09422,175.259
1516925400000.0,0.094125,0.094306,0.094058,0.094209,152.324
1516925460000.0,0.094209,0.094432,0.09411,0.094182,107.755
1516925520000.0,0.094182,0.094782,0.09418,0.094276,99.861
1516925580000.0,0.094276,0.094499,0.094217,0.094217,50.915
1516925640000.0,0.09426,0.094406,0.094219,0.094261,52.855
1516925700000.0,0.094368,0.094372,0.094242,0.094345,111.652
1516925760000.0,0.094249,0.09435,0.094076,0.094226,150.492
1516925820000.0,0.094225,0.094225,0.094,0.094059,132.367
1516925880000.0,0.09415,0.094173,0.094001,0.094049,70.04
1516925940000.0,0.094144,0.094217,0.094041,0.094061,91.668
1516926000000.0,0.094166,0.094224,0.094064,0.094094,54.866
1516926060000.0,0.094168,0.094344,0.094084,0.094093,77.46
1516926120000.0,0.094208,0.094208,0.094085,0.094177,69.834
1516926180000.0,0.094177,0.094178,0.094071,0.094083,56.309
1516926240000.0,0.094083,0.09429,0.094071,0.094101,122.136
1516926300000.0,0.094101,0.094213,0.094045,0.09411,151.968
1516926360000.0,0.094211,0.094226,0.094108,0.094108,94.472
1516926420000.0,0.094109,0.094214,0.094052,0.094199,134.948
1516926480000.0,0.094199,0.094343,0.09408,0.09408,84.248
1516926540000.0,0.09406,0.094266,0.09406,0.094187,69.61
1516926600000.0,0.094187,0.094199,0.09406,0.094196,93.111
1516926660000.0,0.094063,0.094269,0.094063,0.0942,60.91
1516926720000.0,0.094189,0.094195,0.094045,0.094168,84.497
1516926780000.0,0.094166,0.094166,0.094009,0.094009,177.811
1516926840000.0,0.094103,0.094148,0.094001,0.094043,92.692
1516926900000.0,0.094045,0.094154,0.094012,0.094109,74.793
1516926960000.0,0.09402,0.094151,0.09402,0.094115,85.455
1516927020000.0,0.094115,0.094122,0.094001,0.094018,68.714
1516927080000.0,0.09402,0.094123,0.093989,0.09404,149.721
1516927140000.0,0.094027,0.09418,0.094011,0.094125,115.768
1516927200000.0,0.094124,0.094184,0.093981,0.094084,108.424
1516927260000.0,0.094083,0.09415,0.093981,0.094052,78.989
1516927320000.0,0.094138,0.09427,0.094052,0.094242,122.131
1516927380000.0,0.094199,0.094279,0.094118,0.094279,150.617
1516927440000.0,0.094279,0.094282,0.094168,0.094185,111.025
1516927500000.0,0.094185,0.09428,0.094129,0.094242,108.672
1516927560000.0,0.09416,0.094241,0.09409,0.094215,63.646
1516927620000.0,0.094215,0.094215,0.094053,0.094091,88.116
1516927680000.0,0.094198,0.094198,0.094046,0.094111,144.645
1516927740000.0,0.094045,0.094139,0.094011,0.094024,110.342
1516927800000.0,0.094129,0.094135,0.09401,0.094031,102.272
1516927860000.0,0.094125,0.094155,0.094021,0.094118,108.122
1516927920000.0,0.094117,0.094166,0.094022,0.094158,61.173
1516927980000.0,0.094041,0.094158,0.093979,0.094109,164.892
1516928040000.0,0.094085,0.094128,0.093972,0.094128,159.697
1516928100000.0,0.094126,0.0942,0.094012,0.09403,101.929
1516928160000.0,0.094165,0.094189,0.093997,0.094046,123.031
1516928220000.0,0.094139,0.09414,0.093979,0.094095,80.605
1516928280000.0,0.09409,0.09409,0.093963,0.093969,70.067
1516928340000.0,0.094045,0.094142,0.093901,0.094138,136.91
1516928400000.0,0.094138,0.094269,0.094043,0.094214,135.234
1516928460000.0,0.094209,0.094215,0.094072,0.094072,167.139
1516928520000.0,0.094108,0.094198,0.094046,0.094144,179.568
1516928580000.0,0.094143,0.094143,0.093939,0.094058,105.357
1516928640000.0,0.093956,0.09412,0.093901,0.093993,124.163
1516928700000.0,0.094,0.094095,0.093975,0.094002,127.893
1516928760000.0,0.094002,0.094145,0.094,0.094135,148.239
1516928820000.0,0.094045,0.094138,0.093964,0.094067,55.104
1516928880000.0,0.094065,0.094066,0.093901,0.093915,100.673
1516928940000.0,0.093915,0.094008,0.0939,0.093908,117.313
1516929000000.0,0.094001,0.094004,0.093908,0.093916,60.831
1516929060000.0,0.093981,0.094014,0.093898,0.093909,139.274
1516929120000.0,0.093909,0.094015,0.09388,0.093973,163.541
1516929180000.0,0.093881,0.093974,0.09383,0.093835,112.803
1516929240000.0,0.093836,0.093936,0.093814,0.093925,109.533
1516929300000.0,0.09383,0.094008,0.0938,0.093876,112.768
1516929360000.0,0.093876,0.09392,0.093876,0.093877,173.658
1516929420000.0,0.09392,0.094008,0.093876,0.093997,118.038
1516929480000.0,0.0939,0.093994,0.09382,0.09392,93.926
1516929540000.0,0.093919,0.093919,0.093801,0.0939,64.571
1516929600000.0,0.093842,0.093909,0.093773,0.093894,139.616
1516929660000.0,0.093783,0.093895,0.09377,0.09388,82.581
1516929720000.0,0.093879,0.093888,0.093752,0.093752,69.421
1516929780000.0,0.093855,0.093875,0.093751,0.093859,73.638
1516929840000.0,0.093859,0.093859,0.09375,0.09375,90.761
1516929900000.0,0.093751,0.09384,0.09375,0.09375,72.345
1516929960000.0,0.093829,0.093859,0.09375,0.093766,58.317
1516930020000.0,0.0938,0.093895,0.093767,0.093895,96.236
1516930080000.0,0.093811,0.0939,0.09375,0.093752,116.566
1516930140000.0,0.093752,0.093855,0.09375,0.093761,91.177
1516930200000.0,0.093811,0.093842,0.093742,0.093836,210.327
