<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDA.US,D,20180108,000000,218.69,223.28,216.88,220.29,21945021,0
NVDA.US,D,20180109,000000,220.51,222.11,216.94,220.23,12508396,0
NVDA.US,D,20180110,000000,216.52,222.11,214.33,221.97,14656191,0
NVDA.US,D,20180111,000000,223.28,224.53,221.5,222.37,10212960,0
NVDA.US,D,20180112,000000,221.89,223.27,219.63,221.27,9056709,0
NVDA.US,D,20180116,000000,222.34,225.76,215.02,218.4,17389768,0
NVDA.US,D,20180117,000000,218.99,223.39,215.23,223,13538448,0
NVDA.US,D,20180118,000000,222.23,224.9,220.97,222.73,10263411,0
NVDA.US,D,20180119,000000,226.34,229.31,225.26,228.33,14865772,0
NVDA.US,D,20180122,000000,228.65,231.95,226.35,231.88,13842739,0
NVDA.US,D,20180123,000000,234.02,237.97,233.28,237.05,11906212,0
NVDA.US,D,20180124,000000,237.18,238.63,231.74,233.97,14611260,0
NVDA.US,D,20180125,000000,236.17,237.89,233.92,234.52,10302067,0
NVDA.US,D,20180126,000000,236.29,241.47,235.77,241.46,12978399,0
NVDA.US,D,20180129,000000,240.87,246.21,238.75,244.96,11449107,0
NVDA.US,D,20180130,000000,239.25,244.53,236.58,240.85,14349086,0
NVDA.US,D,20180131,000000,243.88,247.35,242.57,243.91,12010524,0
NVDA.US,D,20180201,000000,236.69,245.01,236.23,238.64,13001153,0
NVDA.US,D,20180202,000000,235.17,236.14,229.39,231.71,18034401,0
NVDA.US,D,20180205,000000,225.26,231.44,203.43,212.05,29221947,0
NVDA.US,D,20180206,000000,202.83,223.96,202.43,223.84,28086536,0
NVDA.US,D,20180207,000000,227.8,233.15,224.96,227.05,20189520,0
NVDA.US,D,20180208,000000,232.07,233.4,215.83,215.84,27755211,0
NVDA.US,D,20180209,000000,236.42,237.03,215.84,230.29,42143601,0
NVDA.US,D,20180212,000000,233.54,233.66,223.31,226.3,27468700,0
NVDA.US,D,20180213,000000,224.82,232.69,223.52,230.84,15740615,0
NVDA.US,D,20180214,000000,229.22,240.72,228.77,239.56,18724695,0
NVDA.US,D,20180215,000000,242.9,246.47,239.66,244.61,17564431,0
