<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20100819,000000,31.263,31.346,30.756,30.904,123065108,0
AAPL.US,D,20100820,000000,30.839,31.401,30.794,30.873,110693694,0
AAPL.US,D,20100823,000000,31.136,31.167,30.329,30.401,119336922,0
AAPL.US,D,20100824,000000,30.053,30.053,29.516,29.67,173490211,0
AAPL.US,D,20100825,000000,29.67,30.174,29.339,30.04,172062763,0
AAPL.US,D,20100826,000000,30.358,30.394,29.716,29.716,134353960,0
AAPL.US,D,20100827,000000,29.873,30.004,29.133,29.884,158299125,0
AAPL.US,D,20100830,000000,29.772,30.394,29.763,29.991,110508453,0
AAPL.US,D,20100831,000000,29.902,30.245,29.724,30.065,121290157,0
AAPL.US,D,20100901,000000,30.61,31.098,30.46,30.959,200957392,0
AAPL.US,D,20100902,000000,31.088,31.186,30.742,31.186,119710767,0
AAPL.US,D,20100903,000000,31.528,32.003,31.473,32.001,150224697,0
AAPL.US,D,20100907,000000,31.725,32.098,31.692,31.886,98909840,0
AAPL.US,D,20100908,000000,32.124,32.696,32.042,32.514,151791128,0
AAPL.US,D,20100909,000000,32.785,32.963,32.514,32.533,126374296,0
AAPL.US,D,20100910,000000,32.55,32.71,32.326,32.575,111878449,0
AAPL.US,D,20100913,000000,32.893,33.179,32.868,33.024,112101802,0
AAPL.US,D,20100914,000000,32.92,33.288,32.838,33.153,117047016,0
AAPL.US,D,20100915,000000,33.144,33.438,33.126,33.418,123389042,0
AAPL.US,D,20100916,000000,33.425,34.215,33.33,34.204,187749177,0
AAPL.US,D,20100917,000000,34.321,34.374,33.846,34.055,183069419,0
AAPL.US,D,20100920,000000,34.146,35.094,34.116,35.028,190153915,0
AAPL.US,D,20100921,000000,35.099,35.538,34.972,35.094,192462578,0
AAPL.US,D,20100922,000000,34.987,35.614,34.925,35.586,168864394,0
AAPL.US,D,20100923,000000,35.431,36.207,35.369,35.731,226652044,0
AAPL.US,D,20100924,000000,36.111,36.303,35.931,36.151,187115934,0
AAPL.US,D,20100927,000000,36.358,36.447,35.99,36.008,139337187,0
AAPL.US,D,20100928,000000,36.074,36.084,34.01,35.477,298663348,0
AAPL.US,D,20100929,000000,35.514,35.841,35.369,35.54,135438431,0
AAPL.US,D,20100930,000000,35.74,35.865,34.781,35.091,194288528,0
AAPL.US,D,20101001,000000,35.41,35.443,34.794,34.941,129394704,0
AAPL.US,D,20101004,000000,34.838,34.987,34.352,34.461,125501253,0
AAPL.US,D,20101005,000000,34.919,35.796,34.855,35.734,144294522,0
AAPL.US,D,20101006,000000,35.827,36.11,35.279,35.766,193175658,0
AAPL.US,D,20101007,000000,35.907,35.924,35.483,35.77,117683175,0
AAPL.US,D,20101008,000000,36.081,36.419,35.865,36.37,189664735,0
AAPL.US,D,20101011,000000,36.456,36.758,36.432,36.528,123232933,0
AAPL.US,D,20101012,000000,36.533,37.04,36.171,36.921,160827041,0
AAPL.US,D,20101013,000000,37.107,37.341,37.078,37.12,179568109,0
AAPL.US,D,20101014,000000,37.295,37.409,37.151,37.389,125166750,0
AAPL.US,D,20101015,000000,38.02,38.955,37.71,38.923,264876589,0
AAPL.US,D,20101018,000000,39.387,39.451,38.869,39.329,311410692,0
AAPL.US,D,20101019,000000,37.531,38.805,37.105,38.275,354729525,0
AAPL.US,D,20101020,000000,38.217,38.864,37.952,38.404,207290156,0
